Author,Komentar,Prediksi,Score,Raw_Prob,Metode,Is_Judol
@harisprada6394,Gk seru,🟢 AMAN,16.3%,0.16252880547652046,Weighted Average,0
@Muhamad_Khasani,"Yg percaya prank ini setingan, sini kumpul😅😅 👇👇",🟢 AMAN,19.9%,0.1986255078226352,Weighted Average,0
@shinjunger,ternyata klo d gameplay-nya bneran b ajah,🟢 AMAN,21.8%,0.2177756350094947,Weighted Average,0
@ICally24,Itu knp tembus tembok itu,🟢 AMAN,10.4%,0.1035287401862932,Weighted Average,0
@omlian2025,4:59 fany nya malah tidur,🟢 AMAN,12.9%,0.12942582761880572,Weighted Average,0
@AmmarZhafran-y3o,Skylar bilek liat bang daffa main fanny😂😂😂😂,🟢 AMAN,21.8%,0.21827213695717315,Weighted Average,0
@AlzYXmlAlzYXml,Seru bangt fidio nya bg dafa,🟢 AMAN,14.7%,0.14675353897023416,Weighted Average,0
@Kipotny,Jagoan blezer gaming,🟢 AMAN,21.4%,0.21442363652737045,Weighted Average,0
@AlzYXmlAlzYXml,GG skaylar gw idola kairi😂😂,🟢 AMAN,10.3%,0.10328036099564368,Weighted Average,0
@aramnlight,2:17 😭😭,🟢 AMAN,14.6%,0.14626790825135563,Weighted Average,0
@DianaBaturaja-tg2cn,"Jujur... setiap dapet teman satu tim yang depannya merk RRQ, kenapa pada bot ya.. malah capek sendiri maennya.. itu beneran RRQ atau bukan. Tapi ini pendapat gw yang sejujurnya ya .",🟢 AMAN,18.8%,0.18812370328960554,Weighted Average,0
@DavidNganjuk-l2i,"Daffa kalo marah mirip hulk
 cooo ngeri banget",🟢 AMAN,18.1%,0.181024668944832,Weighted Average,0
@fithaye1013,I Cant See You?,🟢 AMAN,13.4%,0.13404428561182405,Weighted Average,0
@fatimahfatimah7278,Kok retrinya indomaret bg,🟢 AMAN,7.5%,0.07542658872835166,Weighted Average,0
@ryinzukii_,Konten caper ke player RRQ giliran nabrak pro player juga defeat lu dapa poke wkwk,🟢 AMAN,19.5%,0.19533262676351548,Weighted Average,0
@AliTarigan-g1i,"Lol, lu di map gk darat",🟢 AMAN,11.9%,0.11903865223091815,Weighted Average,0
@NangUdii,Rrq,🟢 AMAN,5.6%,0.05606055594193692,Weighted Average,0
@MuhammadtirtaAlviansyah,Bang kalo device nya bagus kabel ke 2/3 nya bisa langsung 2 gitu? Apa emang tangan lu cepet,🟢 AMAN,32.7%,0.32742898780868185,Weighted Average,0
@Yota_Sja3,"kreenn, mw bgt bisa fniii jgk🤓",🟢 AMAN,15.6%,0.1560297454740719,Weighted Average,0
@masdanang2663,Kasih paham bang daffa,🟢 AMAN,17.5%,0.17478318364527526,Weighted Average,0
@MarvelSolerang,"Ilmu dpat kocak nya juga dpatt😂
Smngt daffa",🟢 AMAN,36.1%,0.3611348233541483,Weighted Average,0
@UlySul,Tutor fany bg,🟢 AMAN,7.4%,0.07392834165572504,Weighted Average,0
@JulianChandra-t6p,Bang kapan lu mpl,🟢 AMAN,8.4%,0.08386797564328227,Weighted Average,0
@TontonLasheras,Tanginamo wag ka masyado mayabang puro cancer naman mga player dyn sa indo walang mga kwenta,🟢 AMAN,21.2%,0.21157145710192882,Weighted Average,0
